,0,1
148,50.0,-12798.873414768415
149,50.0,-12790.582455403272
150,51.0,-11594.433175524913
151,51.0,-11585.97450080465
152,51.0,-11571.04838673337
153,52.0,-13567.781341591202
154,52.0,-13564.982493955466
155,52.0,-13575.529168084166
156,53.0,-11282.021804495309
157,53.0,-11272.825764670719
158,53.0,-11264.442664430957
159,54.0,-11036.59123946476
160,54.0,-11022.28876774917
161,54.0,-10991.834802020576
162,55.0,-11194.864899146229
163,55.0,-11188.430949952328
164,55.0,-11178.990539357792
165,56.0,-13468.652065270064
166,56.0,-13471.127869871894
167,56.0,-13469.092627010998
168,57.0,-17200.674304214077
169,57.0,-19821.401760793746
170,57.0,-22448.46065278522
171,58.0,-9907.15500619544
172,58.0,-9892.165197187653
173,58.0,-9895.3835980466
174,59.0,-12424.347543553999
175,59.0,-12412.073534501878
176,59.0,-12404.936768735552
177,60.0,-12420.82457298875
178,60.0,-12393.079665175273
179,60.0,-12388.889618059411
180,61.0,-12493.325633971637
181,61.0,-12453.46809080706
182,61.0,-12451.468855736663
183,62.0,-16303.820152967979
184,62.0,-16297.461710232848
185,62.0,-16308.126190962881
186,63.0,-13997.968733984993
187,63.0,-13995.910435773892
188,63.0,-14003.958777181891
189,64.0,-14723.678311036965
190,64.0,-14791.933640843403
191,64.0,-14784.653338674032
192,65.0,-13588.9997964019
193,65.0,-13583.958071763118
194,65.0,-13570.922757164553
195,66.0,-11914.493658103054
196,66.0,-11899.625947671557
197,66.0,-11880.39466498939
198,67.0,-12309.310085945977
199,67.0,-12304.879297364027
200,67.0,-12298.033989593887
201,68.0,-12293.208938344576
202,68.0,-12289.576496589161
203,68.0,-12287.592849850542
204,69.0,-12610.315632276226
205,69.0,-12615.509511308903
206,69.0,-12608.87304073488
207,70.0,-12540.393951134263
208,70.0,-12533.768262296553
209,70.0,-12545.595250332684
210,71.0,-12771.412259883415
211,71.0,-12756.7286668591
212,71.0,-12771.77352880134
213,72.0,-13466.608186220323
214,72.0,-13458.84863422893
215,72.0,-13463.198281865682
216,73.0,-14445.414527478788
217,73.0,-14447.305417359203
218,73.0,-14448.117365147238
219,74.0,-12229.694405453762
220,74.0,-12232.58703820747
221,74.0,-12224.729630106733
222,75.0,-12694.120880737608
223,75.0,-12686.805351396382
224,75.0,-12689.64516293601
225,76.0,-12836.93021505207
226,76.0,-12839.98381423795
227,76.0,-12786.894213526333
228,77.0,-12905.26418592659
229,77.0,-12889.977340824225
230,77.0,-12890.20396229888
231,78.0,-13253.379509182803
232,78.0,-13252.380173051248
233,78.0,-13251.878223657808
234,79.0,-27893.06898182715
235,79.0,-27873.469519093964
236,79.0,-25167.650440207148
237,80.0,-30613.84349557983
238,80.0,-30572.103954359005
239,80.0,-30563.78727649761
240,81.0,-14877.002543301867
241,81.0,-14881.069440781186
242,81.0,-14873.59800323021
243,82.0,-22138.544977792757
244,82.0,-22145.712597410133
245,82.0,-22126.379544169202
246,83.0,-18522.89914676865
247,83.0,-18337.64740753327
248,83.0,-18344.14556634179
249,84.0,-92231.01325096143
250,84.0,-91917.28395995134
251,84.0,-91873.56648197418
252,85.0,-59336.69629703803
253,85.0,-59231.54835830438
254,85.0,-48024.97546836179
255,86.0,-55626.15310971781
256,86.0,-45909.44994027856
257,86.0,-43248.453907889336
258,87.0,-51871.842748583476
259,87.0,-51757.75722672882
260,87.0,-51791.17344269673
261,88.0,-32295.622002818283
262,88.0,-32283.773868816963
263,88.0,-32288.08892883505
264,89.0,-22831.71367026509
265,89.0,-20160.17423209644
266,89.0,-17506.3484058981
267,90.0,-16341.127004401318
268,90.0,-16344.277001050012
269,90.0,-16354.309907865405
270,91.0,-16763.809342910004
271,91.0,-16771.444259725547
272,91.0,-16792.63184880891
273,92.0,-15762.91633427836
274,92.0,-15750.719492990393
275,92.0,-15771.87813234523
276,93.0,-13799.83260531162
277,93.0,-13795.237955778624
278,93.0,-13787.576766513652
279,94.0,-18069.212711072523
280,94.0,-18060.40341463946
281,94.0,-18043.689898029177
282,95.0,-16181.784668859755
283,95.0,-16166.037624056456
284,95.0,-16161.643526085993
285,96.0,-15931.787550971974
286,96.0,-15938.147856064263
287,96.0,-15949.733083949603
288,97.0,-15596.053511472322
289,97.0,-15595.909342940258
290,97.0,-15594.733054070266
291,98.0,-13606.525924261292
292,98.0,-13614.856640028549
293,98.0,-13613.266517915637
294,99.0,-14346.80707191571
295,99.0,-14325.466369088832
296,99.0,-14308.663950893113
297,100.0,-15155.128450863045
298,100.0,-15160.243250816538
299,100.0,-15157.835665981665
300,101.0,-49478.12084615311
301,101.0,-46885.62137724169
302,101.0,-49551.98134471893
303,102.0,-62779.91195812507
304,102.0,-62788.27206611407
